month,year,gov_gov_gold,gov_gov_matcf,gov_gov_matcp,gov_gov_vercf,gov_gov_vercp,gov_ios_gold,gov_ios_matcf,gov_ios_matcp,gov_ios_vercf,gov_ios_vercp,gov_opp_gold,gov_opp_matcf,gov_opp_matcp,gov_opp_vercf,gov_opp_vercp,gov_par_matcp,gov_par_vercf,gov_soc_matcp,gov_soc_vercf,gov_sta_matcp,gov_sta_vercf,gov_usa_gold,gov_usa_matcf,gov_usa_matcp,gov_usa_vercf,gov_usa_vercp,ios_gov_gold,ios_opp_gold,ios_soc_gold,opp_gov_gold,opp_gov_matcp,opp_gov_vercf,opp_gov_vercp,opp_ios_gold,opp_ios_matcp,opp_ios_vercf,opp_ios_vercp,opp_opp_gold,opp_opp_matcp,opp_opp_vercf,opp_opp_vercp,opp_par_gold,opp_par_matcf,opp_par_vercp,opp_soc_gold,opp_soc_matcf,opp_soc_vercp,opp_sta_gold,opp_sta_matcf,opp_sta_vercp,opp_usa_gold,opp_usa_matcp,opp_usa_vercf,opp_usa_vercp,par_opp_gold,par_par_gold,par_sta_gold,par_usa_gold,soc_gov_gold,soc_ios_gold,soc_soc_gold,soc_sta_gold,soc_usa_gold,sta_gov_gold,sta_opp_gold,sta_par_gold,sta_soc_gold,usa_gov_gold
3.0,1999.0,209.2,20.0,14.0,33.0,161.0,-14.5,6.0,1.0,10.0,23.0,-10.2,2.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,20.0,23.0,-6.8,1.0,1.0,2.0,4.0,14.9,0.0,0.0,-10.4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-9.2,19.6,0.0,31.8,0.0,0.0,109.3,0.0,9.8,0.8,-1.9
4.0,1999.0,645.7,16.0,41.0,58.0,244.0,-7.5,3.0,6.0,11.0,18.0,-14.6,1.0,0.0,2.0,2.0,0.0,0.0,5.0,6.0,32.0,17.0,-5.0,0.0,0.0,2.0,4.0,51.6,0.0,0.4,-18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,18.0,5.0,0.0,246.8,0.0,0.0,0.8,-5.5
5.0,1999.0,316.6,31.0,26.0,33.0,182.0,18.6,1.0,1.0,4.0,17.0,17.4,0.0,0.0,0.0,6.0,0.0,5.0,3.0,7.0,20.0,18.0,-13.3,0.0,0.0,3.0,3.0,46.6,0.0,0.0,7.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,11.8,15.0,0.0,71.5,0.0,0.0,-1.0,13.3
6.0,1999.0,213.3,30.0,16.0,22.0,180.0,28.8,3.0,2.0,2.0,18.0,-21.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,22.0,14.0,22.3,0.0,2.0,5.0,17.0,38.9,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,-8.6,8.3,0.0,90.3,0.0,0.0,-1.2,52.1
7.0,1999.0,513.6,24.0,26.0,24.0,223.0,58.5,1.0,6.0,2.0,13.0,3.8,0.0,0.0,0.0,2.0,0.0,0.0,8.0,7.0,15.0,20.0,16.5,0.0,0.0,4.0,8.0,4.3,0.0,0.0,2.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,0.0,3.0,8.0,0.0,149.1,0.0,0.0,3.2,57.8
8.0,1999.0,370.7,12.0,22.0,22.0,181.0,-13.0,3.0,1.0,3.0,7.0,2.8,0.0,0.0,0.0,1.0,0.0,1.0,4.0,10.0,19.0,11.0,-10.0,1.0,0.0,0.0,2.0,20.3,0.0,-5.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,5.9,0.0,10.7,4.0,0.0,147.4,0.0,2.8,-10.0,-12.0
9.0,1999.0,1116.4,71.0,66.0,91.0,584.0,175.0,14.0,16.0,11.0,79.0,2.0,0.0,0.0,3.0,6.0,1.0,3.0,7.0,14.0,106.0,61.0,104.5,0.0,2.0,4.0,37.0,175.0,0.0,-7.2,-28.3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,0.0,-48.6,0.0,-5.2,-10.3,0.0,1098.4,0.0,2.8,7.8,146.5
10.0,1999.0,240.7,30.0,14.0,38.0,216.0,57.4,1.0,5.0,8.0,27.0,6.4,1.0,0.0,0.0,4.0,0.0,1.0,5.0,3.0,41.0,21.0,-8.0,2.0,0.0,1.0,1.0,77.8,0.0,3.0,-9.2,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,6.9,0.0,10.4,0.0,0.0,324.9,0.0,0.0,0.0,4.4
11.0,1999.0,325.8,9.0,23.0,21.0,136.0,46.0,1.0,7.0,1.0,4.0,2.8,0.0,0.0,0.0,1.0,2.0,0.0,10.0,4.0,38.0,17.0,5.7,0.0,0.0,3.0,4.0,1.2,0.0,0.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,4.0,11.4,0.0,314.2,0.0,0.0,8.4,5.7
12.0,1999.0,36.7,14.0,7.0,20.0,102.0,29.6,1.0,3.0,3.0,10.0,-4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,28.0,8.0,4.7,0.0,0.0,0.0,2.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.4,0.0,-19.5,7.0,0.0,177.6,0.0,0.0,7.0,4.7
